"Offizial von Aachen",1194991165
"Offizial von Augsburg",962377147
"Offizial von Bamberg",1194991904
"Offizial von Berlin",1195063830,-1993
"Offizial von Berlin",1195063601,"1994-"
"Offizial von Dresden-Meißen",1195064934,,"Interdiözesanes Offizialat Erfurt"
"Offizial von Eichstätt",1195065868
"Offizial von Erfurt",1195064934,,"Interdiözesanes Offizialat Erfurt"
"Offizial von Köln",957306261
"Offizial von Münster",960340203
"Bischöflicher Offizial Vechta","108739970X"
"Offizial von Rottenburg-Stuttgart",968201237
"Generalvikar von Aachen",16292257-7
"Generalvikar von Augsburg",1194869459
"Generalvikar von Bamberg",1194869785
"Generalvikar von Berlin",1194871216
"Generalvikar von Berlin",1194871119
"Generalvikar von Dresden-Meißen",1194871925
"Generalvikar von Eichstätt",1194874223
"Generalvikar von Erfurt",1194872638
"Generalvikar von Essen","16272577-2"
"Generalvikar von Freiburg",1194872190
"Generalvikar von Fulda",1194872875
"Generalvikar von Görlitz",1194873073
"Generalvikar von Hamburg",1194870368
"Generalvikar von Hildesheim",1121822010
"Generalvikar von Köln","4341321-3"
"Generalvikar von Limburg",1194873324
"Generalvikar von Magdeburg",1194983065
"Generalvikar von Mainz","4223899-7"
"Generalvikar von München und Freising",1194873936
"Generalvikar von Münster",1170193749
"Generalvikar von Osnabrück",1109131534
"Generalvikar von Paderborn","7621583-0"
"Generalvikar von Passau",1194874371
"Generalvikar von Regensburg","4674252-9"
"Generalvikar von Rottenburg-Stuttgart","4662117-9"
"Generalvikar von Speyer","119487455X"
"Generalvikar von Trier",1083293222
"Generalvikar von Würzburg","119487469X"
"Diözesanadministrator von Aachen",1200261836,"2015-2016"
"Diözesanadministrator von Bamberg",1200262123,"2001-2002"
"Diözesanadministrator von Berlin",1200262336,"2011-2011"
"Diözesanadministrator von Berlin",1200262565,"2014-2015"
"Diözesanadministrator von Dresden-Meißen",1200262751,"2012-2013"
"Diözesanadministrator von Dresden-Meißen",120026293X,"2015-2016"
"Diözesanadministrator von Erfurt",1200263162,"2012-2014"
"Diözesanadministrator von Essen",1200263367,"2009-2009"
"Diözesanadministrator von Görlitz",1200263499,"2010-2011"
"Diözesanadministrator von Hamburg",120026360X,"2014-2015"
"Diözesanadministrator von Köln",1200263871,"2014-2014"
"Diözesanadministrator von Passau",120026407X,"2013-2013"
"Diözesanadministrator von Regensburg",1200264312,"2012-2013"
"Diözesanadministrator von Würzburg",1200264444,"2017-2018"
